"id","altura","peso","imc","sexo","escolaridade","profissao","fumante.f","fumante.n","salario","filhos"
"23",23,1.46,53.24,24.98,"M","PósDoc","Humanas","Não",0,2742.71,0
"24",24,1.55,56.84,23.66,"F","Doutorado","Humanas","Não",0,2876.77,1
"25",25,1.43,52.23,25.54,"F","3ºgrau","Biologicas","Não",0,3088.89,0
"26",26,1.36,49.21,26.61,"M","1ºGrau","Exatas","sim",1,2692.61,0
"27",27,1.56,57.3,23.55,"F","2ºGrau","Exatas","Não",0,2763.91,2
"28",28,1.4,50.91,25.97,"M","2ºGrau","Humanas","sim",1,2458.51,1
"29",29,1.5,54.94,24.42,"M","2ºGrau","Biologicas","sim",1,2758.62,2
"30",30,1.41,51.26,25.78,"F","Doutorado","Biologicas","Não",0,3690.77,0
"31",31,1.61,59.41,22.92,"F","PósDoc","Biologicas","Não",0,3121.65,0
"32",32,1.45,53.1,25.26,"F","3ºgrau","Humanas","Não",0,3831.34,1
"33",33,1.43,52.16,25.51,"M","2ºGrau","Exatas","Não",0,2756.67,1
"34",34,1.45,52.99,25.2,"F","PósDoc","Exatas","Não",0,3443.95,0
"35",35,1.34,48.48,27,"F","1ºGrau","Humanas","Não",0,3512.04,0
"36",36,1.38,50.33,26.43,"M","Analfabeto","Biologicas","sim",1,3492.6,1
"37",37,1.28,46.28,28.25,"F","2ºGrau","Exatas","Não",0,2163.3,0
"38",38,1.37,49.64,26.45,"M","1ºGrau","Humanas","Não",0,2809.71,1
"39",39,1.47,53.82,24.91,"F","Doutorado","Exatas","sim",1,2453.68,2
"40",40,1.45,53.14,25.27,"F","Mestrado","Humanas","sim",1,2985.77,2
"41",41,1.64,60.8,22.61,"M","3ºgrau","Exatas","Não",0,2369.03,1
"42",42,1.39,50.73,26.26,"F","PósDoc","Exatas","sim",1,2591.94,0
"43",43,1.41,51.58,25.94,"M","Mestrado","Humanas","Não",0,3082.14,0
"44",44,1.47,53.88,24.93,"M","Mestrado","Humanas","sim",1,2669.63,0
"45",45,1.4,51.02,26.03,"M","Mestrado","Exatas","Não",0,3047.94,2
"46",46,1.4,51.13,26.09,"F","1ºGrau","Biologicas","Não",0,3115.84,1
"47",47,1.39,50.57,26.17,"M","Analfabeto","Exatas","sim",1,2615.38,0
"48",48,1.37,49.99,26.63,"M","Doutorado","Biologicas","Não",0,2525.77,0
"49",49,1.45,52.9,25.16,"F","1ºGrau","Exatas","Não",0,3108.03,2
"50",50,1.45,53.01,25.21,"F","Doutorado","Exatas","sim",1,2893.57,1
"51",51,1.32,47.78,27.42,"M","PósDoc","Humanas","Não",0,3518.2,2
"52",52,1.44,52.67,25.4,"F","3ºgrau","Humanas","Não",0,2502.52,1
"53",53,1.39,50.56,26.17,"F","Mestrado","Exatas","sim",1,3446.97,2
"54",54,1.4,50.94,25.99,"F","Doutorado","Humanas","Não",0,2731.2,2
"55",55,1.48,54.35,24.81,"F","3ºgrau","Biologicas","Não",0,3747.69,2
"56",56,1.56,57.25,23.52,"F","Mestrado","Exatas","Não",0,2937.77,0
"57",57,1.66,61.59,22.35,"M","2ºGrau","Exatas","Não",0,3140.64,2
"58",58,1.42,51.91,25.74,"F","Mestrado","Exatas","sim",1,2739.96,1
"59",59,1.66,61.42,22.29,"F","Mestrado","Biologicas","Não",0,3510.67,0
"60",60,1.38,50.37,26.45,"F","PósDoc","Exatas","sim",1,3145.7,1
"61",61,1.57,57.63,23.38,"M","Doutorado","Exatas","sim",1,2446.15,2
"62",62,1.75,65.2,21.29,"M","1ºGrau","Biologicas","Não",0,2867.56,0
"63",63,1.5,54.86,24.38,"F","PósDoc","Humanas","Não",0,3114.65,2
"64",64,1.43,52.32,25.59,"M","PósDoc","Exatas","Não",0,2666.27,0
"65",65,1.5,54.97,24.43,"F","PósDoc","Exatas","Não",0,3329.95,1
"66",66,1.68,62.11,22.01,"F","3ºgrau","Humanas","sim",1,3295.24,0
"67",67,1.39,50.45,26.11,"F","2ºGrau","Exatas","Não",0,3619.44,2
"68",68,1.64,60.47,22.48,"M","1ºGrau","Humanas","Não",0,3427.53,2
"69",69,1.63,60.32,22.7,"F","Analfabeto","Exatas","Não",0,2812.16,1
"70",70,1.53,56.35,24.07,"M","Analfabeto","Exatas","Não",0,2971.78,2
"71",71,1.5,55.03,24.46,"M","2ºGrau","Biologicas","Não",0,2617.61,1
"72",72,1.45,53.18,25.29,"M","Doutorado","Biologicas","sim",1,3121.1,2
"73",73,1.46,53.53,25.11,"M","2ºGrau","Biologicas","Não",0,3979.81,0
"74",74,1.56,57.59,23.66,"F","2ºGrau","Exatas","sim",1,3366.65,2
"75",75,1.71,63.28,21.64,"F","2ºGrau","Exatas","Não",0,2824.28,2
"76",76,1.48,54.39,24.83,"F","Analfabeto","Biologicas","Não",0,2423.01,1
"77",77,1.36,49.44,26.73,"M","Mestrado","Biologicas","Não",0,3106.08,2
"78",78,1.43,52.11,25.48,"M","1ºGrau","Humanas","Não",0,2703.34,0
"79",79,1.53,56.03,23.94,"M","Mestrado","Biologicas","Não",0,3018.62,2
"80",80,1.47,53.73,24.86,"F","2ºGrau","Exatas","sim",1,3489.85,1
"81",81,1.48,54.29,24.79,"M","Doutorado","Biologicas","sim",1,2707.7,2
"82",82,1.48,54.32,24.8,"M","PósDoc","Biologicas","Não",0,3021.02,1
"83",83,1.36,49.51,26.77,"M","Doutorado","Biologicas","Não",0,3441.36,0
"84",84,1.48,54.3,24.79,"M","2ºGrau","Biologicas","Não",0,2762.23,0
"85",85,1.59,58.4,23.1,"F","Analfabeto","Biologicas","Não",0,2599.48,2
"86",86,1.57,57.79,23.45,"M","Analfabeto","Exatas","sim",1,2636.96,1
"87",87,1.55,57.2,23.81,"M","Analfabeto","Exatas","Não",0,2491.04,2
"88",88,1.46,53.39,25.05,"F","Analfabeto","Biologicas","Não",0,2537.88,0
"89",89,1.48,54.23,24.76,"F","2ºGrau","Humanas","Não",0,3495.86,0
"90",90,1.38,50.22,26.37,"M","Analfabeto","Humanas","sim",1,2688.67,1
"91",91,1.49,54.79,24.68,"M","1ºGrau","Humanas","Não",0,2962.39,1
"92",92,1.53,56.02,23.93,"F","1ºGrau","Biologicas","sim",1,3342.18,2
"93",93,1.67,61.82,22.17,"F","1ºGrau","Biologicas","Não",0,3189.99,1
"94",94,1.6,59.01,23.05,"F","1ºGrau","Exatas","Não",0,2808.68,1
"95",95,1.45,53.02,25.22,"M","2ºGrau","Biologicas","Não",0,2876.68,1
"96",96,1.54,56.42,23.79,"M","2ºGrau","Exatas","Não",0,3037.32,1
"97",97,1.39,50.46,26.12,"M","2ºGrau","Exatas","Não",0,3700.96,0
"98",98,1.59,58.51,23.14,"F","PósDoc","Biologicas","Não",0,2825.5,2
"99",99,1.6,58.89,23,"M","Doutorado","Humanas","Não",0,2900.25,2
"100",100,1.71,63.48,21.71,"F","1ºGrau","Biologicas","sim",1,2614.9,1
"101",101,1.54,56.66,23.89,"F","PósDoc","Humanas","Não",0,3254.06,0
"102",102,1.45,53.1,25.26,"F","1ºGrau","Exatas","Não",0,3218.43,1
"103",103,1.51,55.26,24.24,"M","Mestrado","Humanas","Não",0,2991.63,0
"104",104,1.45,52.99,25.2,"F","2ºGrau","Biologicas","Não",0,3275.79,0
"105",105,1.42,51.7,25.64,"M","Mestrado","Exatas","Não",0,2825.86,2
"106",106,1.52,55.67,24.1,"F","2ºGrau","Exatas","Não",0,2847.28,0
"107",107,1.41,51.41,25.86,"M","3ºgrau","Exatas","Não",0,2894.03,0
"108",108,1.52,55.67,24.1,"F","Doutorado","Biologicas","Não",0,3022.5,0
"109",109,1.54,56.42,23.79,"M","Mestrado","Exatas","Não",0,2686.79,2
"110",110,1.49,54.79,24.68,"M","3ºgrau","Humanas","Não",0,2825.64,0
"111",111,1.48,54.22,24.75,"M","Doutorado","Humanas","sim",1,3370.76,2
"112",112,1.44,52.4,25.27,"F","2ºGrau","Humanas","Não",0,2369.3,1
"113",113,1.39,50.56,26.17,"F","2ºGrau","Biologicas","sim",1,3085.74,2
"114",114,1.58,58.4,23.39,"M","Doutorado","Exatas","Não",0,3280.56,1
"115",115,1.5,55.09,24.48,"F","Analfabeto","Biologicas","Não",0,3085.81,1
"116",116,1.58,58.32,23.36,"M","3ºgrau","Humanas","sim",1,3538.84,2
"117",117,1.38,50.02,26.27,"M","1ºGrau","Humanas","sim",1,2961.61,1
"118",118,1.52,55.68,24.1,"M","3ºgrau","Humanas","Não",0,3078.88,0
"119",119,1.57,57.69,23.4,"F","1ºGrau","Exatas","Não",0,2767.1,2
"120",120,1.5,54.89,24.4,"M","Mestrado","Biologicas","sim",1,2747.17,1
"121",121,1.48,54.23,24.76,"F","PósDoc","Biologicas","sim",1,3045.65,0
"122",122,1.42,51.87,25.72,"M","Mestrado","Exatas","sim",1,2640.54,1
"123",123,1.71,63.23,21.62,"F","2ºGrau","Humanas","sim",1,3065.48,0
"124",124,1.58,58,23.23,"M","Doutorado","Exatas","sim",1,2472.87,1
"125",125,1.68,62.3,22.07,"F","1ºGrau","Humanas","Não",0,2814.4,2
"126",126,1.51,55.32,24.26,"F","3ºgrau","Biologicas","Não",0,3000.02,0
"127",127,1.44,52.47,25.3,"F","PósDoc","Humanas","Não",0,3226.95,1
"128",128,1.35,48.95,26.86,"F","Analfabeto","Exatas","Não",0,3226.39,1
"129",129,1.44,52.46,25.3,"M","2ºGrau","Exatas","Não",0,1642.26,2
"130",130,1.52,55.91,24.2,"F","Analfabeto","Humanas","Não",0,2542.65,1
"131",131,1.6,59.05,23.07,"M","2ºGrau","Exatas","sim",1,3117.84,0
"132",132,1.53,56.01,23.93,"F","3ºgrau","Humanas","sim",1,3427.74,2
"133",133,1.38,50.31,26.42,"M","Analfabeto","Biologicas","Não",0,2667.6,1
"134",134,1.57,57.67,23.4,"F","PósDoc","Humanas","Não",0,2996.82,1
"135",135,1.33,48.4,27.36,"M","2ºGrau","Exatas","sim",1,2557.95,2
"136",136,1.46,53.54,25.12,"M","3ºgrau","Exatas","Não",0,3024.95,0
"137",137,1.47,53.74,24.87,"F","2ºGrau","Exatas","sim",1,2590.13,1
"138",138,1.31,47.21,27.51,"M","Mestrado","Exatas","Não",0,2873.41,1
"139",139,1.59,58.68,23.21,"M","Analfabeto","Biologicas","sim",1,2142.09,0
"140",140,1.44,52.51,25.32,"F","3ºgrau","Humanas","sim",1,3194.83,0
"141",141,1.47,53.66,24.83,"M","2ºGrau","Biologicas","Não",0,2962.46,0
"142",142,1.64,60.58,22.52,"M","Analfabeto","Humanas","sim",1,3342.08,2
"143",143,1.56,57.55,23.65,"F","2ºGrau","Exatas","Não",0,2806.01,2
"144",144,1.49,54.57,24.58,"M","PósDoc","Biologicas","Não",0,3216.73,1
"145",145,1.55,57.06,23.75,"M","Doutorado","Humanas","Não",0,2617.29,1
"146",146,1.54,56.6,23.87,"M","3ºgrau","Humanas","sim",1,3399.81,2
"147",147,1.67,61.65,22.11,"M","3ºgrau","Humanas","sim",1,3256.69,1
"148",148,1.53,56.1,23.97,"F","2ºGrau","Humanas","Não",0,2989.82,1
"149",149,1.55,57.03,23.74,"M","1ºGrau","Biologicas","sim",1,2545.21,0
"150",150,1.53,56.39,24.09,"F","Analfabeto","Biologicas","Não",0,3007.46,2
"151",151,1.46,53.49,25.09,"M","Mestrado","Humanas","Não",0,2864.59,2
"152",152,1.51,55.39,24.29,"M","Analfabeto","Exatas","Não",0,3072.62,2
"153",153,1.66,61.55,22.34,"F","3ºgrau","Exatas","Não",0,2910.71,2
"154",154,1.41,51.5,25.9,"F","2ºGrau","Humanas","sim",1,3026.41,2
"155",155,1.51,55.49,24.34,"M","1ºGrau","Biologicas","Não",0,2305.38,1
"156",156,1.64,60.45,22.48,"F","Mestrado","Biologicas","sim",1,3158.57,0
"157",157,1.48,54.06,24.68,"F","PósDoc","Exatas","sim",1,3011.75,0
"158",158,1.39,50.79,26.29,"M","PósDoc","Exatas","sim",1,3205.16,1
"159",159,1.41,51.52,25.91,"M","3ºgrau","Humanas","Não",0,2976.67,2
"160",160,1.46,53.44,25.07,"M","Mestrado","Exatas","Não",0,2752.53,2
"161",161,1.42,51.61,25.6,"M","Mestrado","Humanas","Não",0,2757.98,0
"162",162,1.47,53.96,24.97,"F","3ºgrau","Biologicas","Não",0,2843.8,0
"163",163,1.46,53.34,25.02,"M","Doutorado","Humanas","Não",0,3451.04,2
"164",164,1.48,54.27,24.78,"F","2ºGrau","Biologicas","Não",0,3173.15,1
"165",165,1.54,56.63,23.88,"F","Mestrado","Humanas","Não",0,2506.73,2
"166",166,1.56,57.5,23.63,"M","PósDoc","Biologicas","sim",1,2652.2,2
"167",167,1.67,61.71,22.13,"M","2ºGrau","Humanas","Não",0,2819.34,2
"168",168,1.49,54.73,24.65,"F","Mestrado","Biologicas","Não",0,3036.24,0
"169",169,1.47,53.72,24.86,"F","Mestrado","Humanas","sim",1,3079.14,0
"170",170,1.65,60.88,22.36,"F","Mestrado","Humanas","Não",0,3396.5,2
"171",171,1.67,61.82,22.17,"F","Mestrado","Exatas","sim",1,2523.08,1
"172",172,1.5,55.17,24.52,"F","Doutorado","Biologicas","Não",0,3644.05,2
"173",173,1.47,53.67,24.84,"F","3ºgrau","Humanas","sim",1,2851.72,0
"174",174,1.32,47.71,27.38,"M","Analfabeto","Humanas","Não",0,2494.52,0
"175",175,1.64,60.65,22.55,"F","Doutorado","Exatas","Não",0,3037.72,2
"176",176,1.42,51.65,25.61,"F","Analfabeto","Biologicas","sim",1,2504.65,1
"177",177,1.39,50.5,26.14,"M","2ºGrau","Biologicas","Não",0,2887.11,2
"178",178,1.8,67.18,20.73,"M","Mestrado","Exatas","Não",0,3594.9,1
"179",179,1.52,55.94,24.21,"F","3ºgrau","Exatas","Não",0,2799.43,2
"180",180,1.5,54.87,24.39,"M","2ºGrau","Exatas","Não",0,2883.53,0
"181",181,1.23,44.07,29.13,"F","2ºGrau","Biologicas","Não",0,3098.49,1
"182",182,1.49,54.6,24.59,"F","2ºGrau","Biologicas","Não",0,3209.68,2
"183",183,1.6,58.9,23.01,"F","PósDoc","Humanas","sim",1,3399.84,1
"184",184,1.54,56.66,23.89,"M","Analfabeto","Exatas","Não",0,3509.61,0
"185",185,1.59,58.65,23.2,"M","Analfabeto","Humanas","sim",1,2710.11,0
"186",186,1.7,62.93,21.78,"M","3ºgrau","Exatas","Não",0,2894.6,2
"187",187,1.62,59.68,22.74,"F","Doutorado","Biologicas","sim",1,2721.24,0
"188",188,1.45,52.97,25.19,"M","2ºGrau","Exatas","sim",1,3021.75,2
"189",189,1.57,57.82,23.46,"F","Doutorado","Biologicas","Não",0,2505.24,1
"190",190,1.48,54.21,24.75,"M","1ºGrau","Humanas","sim",1,2841.43,2
"191",191,1.45,52.85,25.14,"F","2ºGrau","Exatas","sim",1,3057.49,2
"192",192,1.21,43.58,29.77,"M","3ºgrau","Humanas","sim",1,3054.13,2
"193",193,1.42,51.84,25.71,"M","3ºgrau","Biologicas","Não",0,3250.29,1
"194",194,1.55,56.95,23.7,"M","2ºGrau","Humanas","sim",1,2992.74,2
"195",195,1.72,63.67,21.52,"M","Doutorado","Humanas","sim",1,3149.4,1
"196",196,1.55,57,23.73,"F","3ºgrau","Exatas","sim",1,3265.34,0
"197",197,1.56,57.48,23.62,"M","PósDoc","Exatas","sim",1,2910.19,1
"198",198,1.4,51.14,26.09,"F","Analfabeto","Biologicas","sim",1,3506.23,2
"199",199,1.52,55.65,24.09,"F","3ºgrau","Exatas","sim",1,2485.9,1
"200",200,1.29,46.69,28.06,"F","1ºGrau","Exatas","sim",1,2850.86,1
"201",201,1.55,56.94,23.7,"F","Mestrado","Exatas","sim",1,3035,1
"202",202,1.57,57.79,23.45,"F","3ºgrau","Biologicas","Não",0,2970.49,1
"203",203,1.52,55.74,24.13,"M","2ºGrau","Exatas","Não",0,3414.92,1
"204",204,1.57,57.8,23.45,"F","Analfabeto","Biologicas","sim",1,3228.82,2
"205",205,1.53,56.25,24.03,"M","2ºGrau","Humanas","Não",0,2929.31,2
"206",206,1.58,58.04,23.25,"F","1ºGrau","Exatas","sim",1,2785.95,0
"207",207,1.68,62.37,22.1,"M","Doutorado","Exatas","Não",0,3857.67,2
"208",208,1.61,59.45,22.94,"F","Mestrado","Humanas","Não",0,2669.01,1
"209",209,1.5,55.13,24.5,"M","Mestrado","Humanas","Não",0,3078.39,0
"210",210,1.39,50.54,26.16,"M","Analfabeto","Humanas","sim",1,3087.87,1
"211",211,1.54,56.67,23.9,"F","3ºgrau","Biologicas","Não",0,3364.05,1
"212",212,1.46,53.4,25.05,"F","Doutorado","Humanas","Não",0,3873.09,2
"213",213,1.65,60.97,22.39,"F","Doutorado","Humanas","Não",0,2989.42,1
"214",214,1.34,48.57,27.05,"M","Analfabeto","Humanas","sim",1,2779.66,0
"215",215,1.46,53.34,25.02,"M","Doutorado","Exatas","Não",0,2774.2,2
"216",216,1.54,56.69,23.9,"F","Mestrado","Biologicas","sim",1,2990.63,0
"217",217,1.48,54.39,24.83,"F","Mestrado","Humanas","sim",1,2527.5,0
"218",218,1.44,52.58,25.36,"F","Doutorado","Biologicas","sim",1,3609,0
"219",219,1.47,53.78,24.89,"M","2ºGrau","Humanas","Não",0,3337.04,2
"220",220,1.56,57.52,23.64,"M","2ºGrau","Exatas","sim",1,3514.34,0
"221",221,1.59,58.58,23.17,"F","Analfabeto","Exatas","Não",0,3210.85,2
"222",222,1.57,57.64,23.38,"M","3ºgrau","Humanas","Não",0,3872.11,2
"223",223,1.73,64.09,21.41,"M","Mestrado","Biologicas","Não",0,2182.1,2
"224",224,1.62,59.69,22.74,"M","3ºgrau","Exatas","Não",0,2618.13,2
"225",225,1.53,56.15,23.99,"F","Doutorado","Exatas","Não",0,3025.51,0
"226",226,1.43,52.36,25.61,"F","3ºgrau","Exatas","Não",0,2836.9,2
"227",227,1.79,66.68,20.81,"F","Doutorado","Humanas","sim",1,3165.73,0
"228",228,1.57,57.71,23.41,"F","3ºgrau","Humanas","Não",0,2969.51,1
"229",229,1.43,52.26,25.56,"F","3ºgrau","Humanas","Não",0,2873.14,0
"230",230,1.52,55.75,24.13,"F","1ºGrau","Humanas","Não",0,2908.93,1
"231",231,1.47,53.7,24.85,"M","1ºGrau","Humanas","sim",1,3234.46,2
"232",232,1.47,53.9,24.94,"M","Analfabeto","Biologicas","Não",0,3791.21,0
"233",233,1.41,51.27,25.79,"M","2ºGrau","Exatas","Não",0,2612.71,1
"234",234,1.51,55.47,24.33,"F","2ºGrau","Humanas","sim",1,3314.51,1
"235",235,1.53,56.28,24.04,"M","PósDoc","Exatas","Não",0,3483.34,2
"236",236,1.39,50.69,26.24,"M","3ºgrau","Biologicas","Não",0,2788.85,2
"237",237,1.18,42.07,30.21,"M","1ºGrau","Exatas","sim",1,3190.92,1
"238",238,1.47,53.98,24.98,"M","3ºgrau","Humanas","Não",0,3160.95,2
"239",239,1.5,55.12,24.5,"F","Analfabeto","Biologicas","Não",0,3226.45,0
"240",240,1.56,57.38,23.58,"M","PósDoc","Biologicas","sim",1,2228.89,2
"241",241,1.51,55.24,24.23,"M","Mestrado","Biologicas","Não",0,2879.71,2
"242",242,1.54,56.65,23.89,"F","3ºgrau","Humanas","Não",0,3644.94,2
"243",243,1.39,50.61,26.19,"F","2ºGrau","Humanas","Não",0,3247.87,0
"244",244,1.57,57.84,23.47,"F","2ºGrau","Biologicas","sim",1,2587.28,2
"245",245,1.57,57.88,23.48,"M","Doutorado","Biologicas","sim",1,2746.91,1
"246",246,1.53,56.01,23.93,"F","2ºGrau","Humanas","Não",0,2809.93,0
"247",247,1.64,60.43,22.47,"F","Doutorado","Biologicas","sim",1,3123.13,2
"248",248,1.54,56.62,23.87,"M","Mestrado","Humanas","Não",0,3395.62,1
"249",249,1.53,56.06,23.95,"F","PósDoc","Humanas","sim",1,3209.73,2
"250",250,1.53,56.07,23.95,"F","1ºGrau","Humanas","sim",1,3038.04,1
"251",251,1.54,56.75,23.93,"F","3ºgrau","Humanas","Não",0,2992.05,1
"252",252,1.61,59.24,22.85,"F","3ºgrau","Exatas","Não",0,3155.1,2
"253",253,1.55,56.81,23.65,"F","Doutorado","Biologicas","Não",0,2337.84,1
"254",254,1.57,57.65,23.39,"M","2ºGrau","Exatas","Não",0,3219.55,2
"255",255,1.39,50.45,26.11,"M","PósDoc","Biologicas","Não",0,3360.37,1
"256",256,1.46,53.52,25.11,"F","Analfabeto","Biologicas","Não",0,3671.64,2
"257",257,1.65,60.91,22.37,"M","Doutorado","Biologicas","Não",0,2741.68,1
"258",258,1.38,50.1,26.31,"M","3ºgrau","Exatas","Não",0,3036.43,0
"259",259,1.53,56.03,23.94,"F","PósDoc","Biologicas","Não",0,2811.41,1
"260",260,1.54,56.62,23.87,"F","2ºGrau","Humanas","Não",0,2269.2,2
"261",261,1.6,58.9,23.01,"M","Mestrado","Exatas","sim",1,2624.16,0
"262",262,1.47,53.6,24.8,"F","Mestrado","Biologicas","Não",0,3393.42,0
"263",263,1.52,55.63,24.08,"M","2ºGrau","Exatas","Não",0,3334.24,1
"264",264,1.32,47.95,27.52,"F","Analfabeto","Exatas","Não",0,2758.89,2
"265",265,1.53,56.35,24.07,"M","Mestrado","Exatas","Não",0,2770.2,2
"266",266,1.43,52.33,25.59,"M","PósDoc","Biologicas","Não",0,2656.84,0
"267",267,1.48,54.05,24.68,"F","Analfabeto","Humanas","sim",1,2953.7,2
"268",268,1.38,50.25,26.39,"F","Analfabeto","Exatas","Não",0,2931.9,1
"269",269,1.54,56.54,23.84,"M","Mestrado","Humanas","Não",0,2643.5,1
"270",270,1.57,57.67,23.4,"M","Mestrado","Exatas","sim",1,2673.36,1
"271",271,1.47,53.78,24.89,"M","PósDoc","Exatas","Não",0,3161.06,2
"272",272,1.68,62.3,22.07,"F","1ºGrau","Biologicas","sim",1,3074.1,0
"273",273,1.57,57.68,23.4,"M","2ºGrau","Biologicas","Não",0,2513.2,0
"274",274,1.59,58.79,23.25,"M","1ºGrau","Exatas","sim",1,3132.18,2
"275",275,1.7,63.2,21.87,"M","PósDoc","Humanas","Não",0,3070.34,0
"276",276,1.43,52.4,25.62,"M","2ºGrau","Humanas","Não",0,2945.49,0
"277",277,1.58,58.23,23.33,"M","Mestrado","Humanas","sim",1,3185.06,2
"278",278,1.6,58.95,23.03,"M","Doutorado","Exatas","Não",0,3250.78,1
"279",279,1.5,54.98,24.44,"F","Mestrado","Humanas","Não",0,3957.41,2
"280",280,1.53,56.28,24.04,"M","2ºGrau","Exatas","Não",0,2742.5,1
"281",281,1.4,50.95,25.99,"M","Analfabeto","Humanas","Não",0,2750.16,2
"282",282,1.55,56.88,23.68,"F","Doutorado","Humanas","Não",0,2764.92,0
"283",283,1.43,52.2,25.53,"M","Mestrado","Biologicas","sim",1,2557.56,0
"284",284,1.58,58.25,23.33,"F","Doutorado","Biologicas","sim",1,2870.54,1
"285",285,1.42,51.75,25.66,"F","Analfabeto","Exatas","sim",1,3276.99,1
"286",286,1.53,56.28,24.04,"M","3ºgrau","Biologicas","Não",0,3145.39,2
"287",287,1.42,51.61,25.6,"M","2ºGrau","Humanas","Não",0,3268.7,0
"288",288,1.48,54.02,24.66,"M","Doutorado","Humanas","Não",0,2386.42,1
"289",289,1.34,48.79,27.17,"F","1ºGrau","Exatas","sim",1,2984.42,2
"290",290,1.51,55.51,24.35,"M","Mestrado","Exatas","sim",1,3459.09,0
"291",291,1.6,58.94,23.02,"M","PósDoc","Biologicas","sim",1,3173.03,1
"292",292,1.52,55.73,24.12,"M","1ºGrau","Exatas","Não",0,3306.62,2
"293",293,1.32,47.94,27.51,"F","Mestrado","Exatas","sim",1,2332.38,0
"294",294,1.44,52.52,25.33,"M","Mestrado","Biologicas","Não",0,2628.17,0
"295",295,1.67,61.62,22.09,"F","Doutorado","Biologicas","sim",1,3219.33,0
"296",296,1.68,62.24,22.05,"M","PósDoc","Exatas","sim",1,3111.49,1
"297",297,1.38,50.3,26.41,"M","Mestrado","Humanas","sim",1,2898.46,0
"298",298,1.46,53.53,25.11,"F","1ºGrau","Humanas","Não",0,3266.54,2
"299",299,1.54,56.41,23.79,"M","PósDoc","Biologicas","sim",1,3775.53,1
"300",300,1.53,56.28,24.04,"F","3ºgrau","Exatas","Não",0,2623.95,2
"301",301,1.44,52.68,25.41,"F","Analfabeto","Humanas","Não",0,3215.34,2
"302",302,1.4,51.19,26.12,"F","PósDoc","Biologicas","sim",1,3666.95,0
"303",303,1.48,54.28,24.78,"M","Analfabeto","Exatas","Não",0,2709.99,1
"304",304,1.6,59.04,23.06,"M","Doutorado","Biologicas","Não",0,2806.74,1
"305",305,1.5,55.09,24.48,"M","2ºGrau","Exatas","sim",1,2121.98,0
"306",306,1.44,52.4,25.27,"F","Analfabeto","Humanas","Não",0,2575.24,2
"307",307,1.45,52.98,25.2,"F","Doutorado","Exatas","Não",0,2962.05,1
"308",308,1.66,61.46,22.3,"M","1ºGrau","Exatas","sim",1,3404.65,2
"309",309,1.46,53.21,24.96,"F","Analfabeto","Exatas","Não",0,2753.05,0
"310",310,1.58,58.05,23.25,"F","Analfabeto","Exatas","sim",1,2518.61,0
"311",311,1.65,60.89,22.37,"M","3ºgrau","Exatas","sim",1,2238.6,1
"312",312,1.54,56.77,23.94,"M","PósDoc","Exatas","sim",1,3122.46,2
"313",313,1.46,53.31,25.01,"M","Mestrado","Humanas","Não",0,3101.07,1
"314",314,1.5,54.84,24.37,"F","Doutorado","Exatas","Não",0,2982.91,1
"315",315,1.45,53.03,25.22,"M","Doutorado","Humanas","Não",0,3120.09,1
"316",316,1.62,59.91,22.83,"F","2ºGrau","Humanas","Não",0,3051.1,1
"317",317,1.49,54.4,24.5,"M","Doutorado","Exatas","Não",0,3235.12,2
